gene_symbol	hgnc_approved_symbol	ensembl_gene_id	n_promoters_in_target_library	in_lambert_2018	lambert_2018_dbd	jaspar_tf_class	jaspar_tf_family
FOXO4	FOXO4	ENSG00000184481	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXO6	FOXO6	ENSG00000204060	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXP1	FOXP1	ENSG00000114861	4	True	Forkhead	Fork head/winged helix factors	FOX
FOXP2	FOXP2	ENSG00000128573	2	True	Forkhead	Fork head/winged helix factors	FOX
FOXP3	FOXP3	ENSG00000049768	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXP4	FOXP4	ENSG00000137166	1	True	Forkhead	Fork head/winged helix factors	FOX
FOXQ1	FOXQ1	ENSG00000164379	1	True	Forkhead		
FOXR1	FOXR1	ENSG00000176302	1	True	Forkhead		
FOXR2	FOXR2	ENSG00000189299	1	True	Forkhead		
FOXS1	FOXS1	ENSG00000179772	1	True	Forkhead	Fork head/winged helix factors	FOX
FUBP1	FUBP1	ENSG00000162613	1	True	Unknown		
FUBP3	FUBP3	ENSG00000107164	1	True	Unknown		
FXN	FXN	ENSG00000165060	1	False			
GABPA	GABPA	ENSG00000154727	1	True	Ets	Tryptophan cluster factors	Ets-related
GABPB1	GABPB1	ENSG00000104064	1	True	Unknown		
GAS7	GAS7	ENSG00000007237	1	True	Unknown		
GATA1	GATA1	ENSG00000102145	1	True	GATA	Other C4 zinc finger-type factors	C4-GATA-related
GATA2	GATA2	ENSG00000179348	2	True	GATA	Other C4 zinc finger-type factors	C4-GATA-related
GATA3	GATA3	ENSG00000107485	1	True	GATA	Other C4 zinc finger-type factors	C4-GATA-related
GATA4	GATA4	ENSG00000136574	1	True	GATA	Other C4 zinc finger-type factors	C4-GATA-related
GATA5	GATA5	ENSG00000130700	1	True	GATA	Other C4 zinc finger-type factors	C4-GATA-related
GATA6	GATA6	ENSG00000141448	1	True	GATA	Other C4 zinc finger-type factors	C4-GATA-related
GATAD1	GATAD1	ENSG00000157259	1	True	GATA		
GATAD2A	GATAD2A	ENSG00000167491	2	True	GATA		
GATAD2B	GATAD2B	ENSG00000143614	1	True	GATA		
GBX1	GBX1	ENSG00000164900	2	True	Homeodomain	Homeo domain factors	HOX
GBX2	GBX2	ENSG00000168505	1	True	Homeodomain	Homeo domain factors	HOX
GCFC2	GCFC2	ENSG00000005436	1	True	Unknown		
GCM1	GCM1	ENSG00000137270	1	True	GCM	GCM domain factors	GCM
GCM2	GCM2	ENSG00000124827	1	True	GCM	GCM domain factors	GCM
GFI1	GFI1	ENSG00000162676	2	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
GFI1B	GFI1B	ENSG00000165702	1	True	C2H2 ZF		
GLI1	GLI1	ENSG00000111087	1	True	C2H2 ZF		
GLI2	GLI2	ENSG00000074047	2	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
GLI3	GLI3	ENSG00000106571	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
GLI4	GLI4	ENSG00000250571	1	True	C2H2 ZF		
GLIS1	GLIS1	ENSG00000174332	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
GLIS2	GLIS2	ENSG00000126603	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
GLIS3	GLIS3	ENSG00000107249	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
GLYR1	GLYR1	ENSG00000140632	1	True	AT hook		
GMEB1	GMEB1	ENSG00000162419	1	True	SAND		
GMEB2	GMEB2	ENSG00000101216	1	True	SAND	SAND domain factors	GMEB
GON4L	GON4L	ENSG00000116580	2	True	Unknown		
GPBP1	GPBP1	ENSG00000062194	1	True	Unknown		
GPBP1L1	GPBP1L1	ENSG00000159592	1	True	Unknown		
GRHL1	GRHL1	ENSG00000134317	1	True	Grainyhead	Grainyhead domain factors	Grainyhead-related factors
GRHL2	GRHL2	ENSG00000083307	1	True	Grainyhead	Grainyhead domain factors	Grainyhead-related factors
GRHL3	GRHL3	ENSG00000158055	1	True	Grainyhead		
GSC	GSC	ENSG00000133937	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
GSC2	GSC2	ENSG00000063515	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
GSX1	GSX1	ENSG00000169840	1	True	Homeodomain	Homeo domain factors	HOX
GSX2	GSX2	ENSG00000180613	1	True	Homeodomain	Homeo domain factors	HOX
GTF2A1	GTF2A1	ENSG00000165417	1	True	Unknown		
GTF2A1L	GTF2A1L	ENSG00000242441	1	True	Unknown		
GTF2A2	GTF2A2	ENSG00000140307	1	True	Unknown		
GTF2B	GTF2B	ENSG00000137947	1	True	Unknown		
GTF2E1	GTF2E1	ENSG00000153767	1	False			
GTF2F1	GTF2F1	ENSG00000125651	1	True	Unknown		
GTF2F2	GTF2F2	ENSG00000188342	1	True	Unknown		
GTF2H1	GTF2H1	ENSG00000110768	1	True	Unknown		
GTF2H2	GTF2H2	ENSG00000145736	1	True	Unknown		
GTF2H3	GTF2H3	ENSG00000111358	1	True	Unknown		
GTF2I	GTF2I	ENSG00000263001	1	True	GTF2I-like		
GTF2IRD1	GTF2IRD1	ENSG00000006704	1	True	GTF2I-like		
GTF2IRD2	GTF2IRD2	ENSG00000196275	1	True	GTF2I-like		
GTF2IRD2B	GTF2IRD2B	ENSG00000174428	1	True	GTF2I-like		
GTF3A	GTF3A	ENSG00000122034	1	True	C2H2 ZF		
GTF3C3	GTF3C3	ENSG00000119041	1	False			
GZF1	GZF1	ENSG00000125812	1	True	C2H2 ZF		
HAND1	HAND1	ENSG00000113196	1	True	bHLH		
HAND2	HAND2	ENSG00000164107	2	True	bHLH	Basic helix-loop-helix factors (bHLH)	Tal-related
HBP1	HBP1	ENSG00000105856	1	True	HMG/Sox		
HCFC1	HCFC1	ENSG00000172534	1	True	Unknown		
HCLS1	HCLS1	ENSG00000180353	1	False			
HDAC1	HDAC1	ENSG00000116478	1	True	Unknown		
HDAC3	HDAC3	ENSG00000171720	1	True	Unknown		
HDAC4	HDAC4	ENSG00000068024	1	True	Unknown		
HDAC5	HDAC5	ENSG00000108840	1	True	Unknown		
HDGF	HDGF	ENSG00000143321	1	False			
HDX	HDX	ENSG00000165259	1	True	Homeodomain		
HELT	HELT	ENSG00000187821	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
HELZ2	HELZ2	ENSG00000130589	2	True	Unknown		
HES1	HES1	ENSG00000114315	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
HES2	HES2	ENSG00000069812	2	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
HES3	HES3	ENSG00000173673	1	True	bHLH		
HES4	HES4	ENSG00000188290	1	True	bHLH		
HES5	HES5	ENSG00000197921	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
HES6	HES6	ENSG00000144485	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
HES7	HES7	ENSG00000179111	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
HESX1	HESX1	ENSG00000163666	2	True	Homeodomain	Homeo domain factors	Paired-related HD factors
HEY1	HEY1	ENSG00000164683	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
HEY2	HEY2	ENSG00000135547	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	Hairy-related factors
HEYL	HEYL	ENSG00000163909	1	True	bHLH		
HHEX	HHEX	ENSG00000152804	1	True	Homeodomain		
HIC1	HIC1	ENSG00000177374	1	True	C2H2 ZF		
HIC2	HIC2	ENSG00000169635	2	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
HIF1A	HIF1A	ENSG00000100644	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	PAS domain factors
HIF3A	HIF3A	ENSG00000124440	2	True	bHLH	Homeo domain factors	PAS
HINFP	HINFP	ENSG00000172273	1	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
HIRA	HIRA	ENSG00000100084	2	True	Unknown		
HIVEP1	HIVEP1	ENSG00000095951	1	True	C2H2 ZF		
HIVEP2	HIVEP2	ENSG00000010818	1	True	C2H2 ZF		
HIVEP3	HIVEP3	ENSG00000127124	3	True	C2H2 ZF		
HKR1	ZNF875	ENSG00000181666	2	True	C2H2 ZF		
HLF	HLF	ENSG00000108924	2	True	bZIP	Basic leucine zipper factors (bZIP)	CEBP-related
HLTF	HLTF	ENSG00000071794	1	True	Unknown		
HLX	HLX	ENSG00000136630	1	True	Homeodomain		
HMBOX1	HMBOX1	ENSG00000147421	1	True	Homeodomain	Homeo domain factors	POU domain factors
HMG20A	HMG20A	ENSG00000140382	1	True	HMG/Sox		
HMG20B	HMG20B	ENSG00000064961	2	True	HMG/Sox		
HMGA1	HMGA1	ENSG00000137309	1	True	AT hook		
HMGA2	HMGA2	ENSG00000149948	1	True	AT hook		
HMGB1	HMGB1	ENSG00000189403	2	True	HMG/Sox		
HMGB2	HMGB2	ENSG00000164104	1	True	HMG/Sox		
HMGB3	HMGB3	ENSG00000029993	1	True	HMG/Sox		
HMGB4	HMGB4	ENSG00000176256	1	True	HMG/Sox		
HMGN2	HMGN2	ENSG00000198830	1	False			
HMGN3	HMGN3	ENSG00000118418	1	True	HMG/Sox		
HMGXB3	HMGXB3	ENSG00000113716	1	True	HMG/Sox		
HMGXB4	HMGXB4	ENSG00000100281	1	True	HMG/Sox		
HMX1	HMX1	ENSG00000215612	1	True	Homeodomain		
HMX2	HMX2	ENSG00000188816	1	True	Homeodomain		
HMX3	HMX3	ENSG00000188620	1	True	Homeodomain		
HNF1A	HNF1A	ENSG00000135100	1	True	Homeodomain	Homeo domain factors	POU domain factors
HNF1B	HNF1B	ENSG00000275410	1	True	Homeodomain	Homeo domain factors	POU domain factors
HNF4A	HNF4A	ENSG00000101076	1	True	Nuclear receptor	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
HNF4G	HNF4G	ENSG00000164749	2	True	Nuclear receptor	Nuclear receptors with C4 zinc fingers	RXR-related receptors (NR2)
HNRNPK	HNRNPK	ENSG00000165119	1	True	Unknown		
HNRNPU	HNRNPU	ENSG00000153187	1	True	Unknown		
HOMEZ	HOMEZ	ENSG00000290292	1	True	Homeodomain	Homeo domain factors	HD-ZF
HOPX	HOPX	ENSG00000171476	2	True	Homeodomain		
HOXA1	HOXA1	ENSG00000105991	1	True	Homeodomain	Homeo domain factors	HOX
HOXA10	HOXA10	ENSG00000253293	1	True	Homeodomain	Homeo domain factors	HOX
HOXA11	HOXA11	ENSG00000005073	1	True	Homeodomain		
HOXA13	HOXA13	ENSG00000106031	1	True	Homeodomain	Homeo domain factors	HOX
HOXA2	HOXA2	ENSG00000105996	1	True	Homeodomain	Homeo domain factors	HOX
HOXA3	HOXA3	ENSG00000105997	2	True	Homeodomain	Homeo domain factors	HOX
HOXA4	HOXA4	ENSG00000197576	1	True	Homeodomain	Homeo domain factors	HOX
HOXA5	HOXA5	ENSG00000106004	1	True	Homeodomain	Homeo domain factors	HOX
HOXA6	HOXA6	ENSG00000106006	1	True	Homeodomain	Homeo domain factors	HOX
HOXA7	HOXA7	ENSG00000122592	1	True	Homeodomain	Homeo domain factors	HOX
HOXA9	HOXA9	ENSG00000078399	1	True	Homeodomain	Homeo domain factors	HOX
HOXB1	HOXB1	ENSG00000120094	1	True	Homeodomain	Homeo domain factors	HOX
HOXB13	HOXB13	ENSG00000159184	1	True	Homeodomain	Homeo domain factors	HOX
HOXB2	HOXB2	ENSG00000173917	1	True	Homeodomain	Homeo domain factors	HOX
HOXB3	HOXB3	ENSG00000120093	1	True	Homeodomain	Homeo domain factors	HOX
HOXB4	HOXB4	ENSG00000182742	1	True	Homeodomain	Homeo domain factors	HOX
HOXB5	HOXB5	ENSG00000120075	1	True	Homeodomain	Homeo domain factors	HOX
HOXB6	HOXB6	ENSG00000108511	2	True	Homeodomain	Homeo domain factors	HOX
HOXB7	HOXB7	ENSG00000260027	1	True	Homeodomain	Homeo domain factors	HOX
HOXB8	HOXB8	ENSG00000120068	2	True	Homeodomain	Homeo domain factors	HOX
HOXB9	HOXB9	ENSG00000170689	1	True	Homeodomain	Homeo domain factors	HOX
HOXC10	HOXC10	ENSG00000180818	1	True	Homeodomain	Homeo domain factors	HOX
HOXC11	HOXC11	ENSG00000123388	1	True	Homeodomain	Homeo domain factors	HOX
HOXC12	HOXC12	ENSG00000123407	1	True	Homeodomain	Homeo domain factors	HOX
HOXC13	HOXC13	ENSG00000123364	1	True	Homeodomain	Homeo domain factors	HOX
HOXC4	HOXC4	ENSG00000198353	1	True	Homeodomain	Homeo domain factors	HOX
HOXC5	HOXC5	ENSG00000172789	1	True	Homeodomain		
HOXC6	HOXC6	ENSG00000197757	1	True	Homeodomain		
HOXC8	HOXC8	ENSG00000037965	1	True	Homeodomain	Homeo domain factors	HOX
HOXC9	HOXC9	ENSG00000180806	1	True	Homeodomain	Homeo domain factors	HOX
HOXD1	HOXD1	ENSG00000128645	1	True	Homeodomain	Homeo domain factors	HOX
HOXD10	HOXD10	ENSG00000128710	2	True	Homeodomain	Homeo domain factors	HOX
HOXD11	HOXD11	ENSG00000128713	1	True	Homeodomain	Homeo domain factors	HOX
HOXD12	HOXD12	ENSG00000170178	1	True	Homeodomain	Homeo domain factors	HOX
HOXD13	HOXD13	ENSG00000128714	1	True	Homeodomain	Homeo domain factors	HOX
HOXD3	HOXD3	ENSG00000128652	1	True	Homeodomain	Homeo domain factors	HOX
HOXD4	HOXD4	ENSG00000170166	1	True	Homeodomain	Homeo domain factors	HOX
HOXD8	HOXD8	ENSG00000175879	1	True	Homeodomain	Homeo domain factors	HOX
HOXD9	HOXD9	ENSG00000128709	1	True	Homeodomain	Homeo domain factors	HOX
HR	HR	ENSG00000168453	2	True	Unknown		
HSF1	HSF1	ENSG00000185122	1	True	HSF	Heat shock factors	HSF factors
HSF2	HSF2	ENSG00000025156	1	True	HSF	Heat shock factors	HSF factors
HSF4	HSF4	ENSG00000102878	1	True	HSF	Heat shock factors	HSF factors
HSF5	HSF5	ENSG00000176160	1	True	HSF	Heat shock factors	HSF factors
HSFX1	HSFX1	ENSG00000171116	1	True	HSF		
HSFX2	HSFX2	ENSG00000268738	1	True	HSF		
HSFY1	HSFY1	ENSG00000172468	1	True	HSF		
HSFY2	HSFY2	ENSG00000169953	1	True	HSF		
ID1	ID1	ENSG00000125968	1	True	bHLH		
ID2	ID2	ENSG00000115738	2	True	bHLH		
ID3	ID3	ENSG00000117318	1	True	bHLH		
ID4	ID4	ENSG00000172201	1	True	bHLH		
IFI16	IFI16	ENSG00000163565	1	True	Unknown		
IGFBP1	IGFBP1	ENSG00000146678	1	False			
IGHMBP2	IGHMBP2	ENSG00000132740	1	False			
IKZF1	IKZF1	ENSG00000185811	1	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
IKZF2	IKZF2	ENSG00000030419	2	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
IKZF3	IKZF3	ENSG00000161405	1	True	C2H2 ZF		
IKZF4	IKZF4	ENSG00000123411	2	True	C2H2 ZF		
IKZF5	IKZF5	ENSG00000095574	1	True	C2H2 ZF		
ILF2	ILF2	ENSG00000143621	1	False			
ILF3	ILF3	ENSG00000129351	1	False			
ING1	ING1	ENSG00000153487	2	False			
ING4	ING4	ENSG00000111653	1	True	Unknown		
INSM1	INSM1	ENSG00000173404	1	True	C2H2 ZF	C2H2 zinc finger factors	Factors with multiple dispersed zinc fingers
INSM2	INSM2	ENSG00000168348	1	True	C2H2 ZF		
IRF1	IRF1	ENSG00000125347	1	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRF2	IRF2	ENSG00000168310	1	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRF3	IRF3	ENSG00000126456	1	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRF4	IRF4	ENSG00000137265	2	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRF5	IRF5	ENSG00000128604	2	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRF6	IRF6	ENSG00000117595	1	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRF7	IRF7	ENSG00000185507	1	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRF8	IRF8	ENSG00000140968	1	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRF9	IRF9	ENSG00000213928	1	True	IRF	Tryptophan cluster factors	Interferon-regulatory factors
IRX1	IRX1	ENSG00000170549	1	True	Homeodomain	Homeo domain factors	TALE-type HD
IRX2	IRX2	ENSG00000170561	1	True	Homeodomain	Homeo domain factors	TALE-type HD
IRX3	IRX3	ENSG00000177508	1	True	Homeodomain		
IRX4	IRX4	ENSG00000113430	1	True	Homeodomain		
IRX5	IRX5	ENSG00000176842	1	True	Homeodomain	Homeo domain factors	TALE-type HD
IRX6	IRX6	ENSG00000159387	1	True	Homeodomain		
ISL1	ISL1	ENSG00000016082	2	True	Homeodomain		
ISL2	ISL2	ENSG00000159556	1	True	Homeodomain	Homeo domain factors	HD-LIM
ISX	ISX	ENSG00000175329	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
JAZF1	JAZF1	ENSG00000153814	1	True	C2H2 ZF		
JDP2	JDP2	ENSG00000140044	1	True	bZIP	Basic leucine zipper factors (bZIP)	Fos-related
JRK	JRK	ENSG00000234616	2	True	CENPB		
JRKL	JRKL	ENSG00000183340	1	True	CENPB		
JUN	JUN	ENSG00000177606	1	True	bZIP	Basic leucine zipper factors (bZIP)	Jun-related
JUNB	JUNB	ENSG00000171223	1	True	bZIP	Basic leucine zipper factors (bZIP)	Jun-related
JUND	JUND	ENSG00000130522	1	True	bZIP	Basic leucine zipper factors (bZIP)	Jun-related
JUP	JUP	ENSG00000173801	1	True	Unknown		
KAT2A	KAT2A	ENSG00000108773	1	True	Unknown		
KAT7	KAT7	ENSG00000136504	1	True	C2H2 ZF		
KCMF1	KCMF1	ENSG00000176407	1	True	C2H2 ZF		
KCNIP3	KCNIP3	ENSG00000115041	1	True	Unknown		
KDM2A	KDM2A	ENSG00000173120	1	True	CxxC		
KDM2B	KDM2B	ENSG00000089094	2	True	CxxC		
KDM4C	KDM4C	ENSG00000107077	1	False			
KDM4E	KDM4E	ENSG00000235268	1	False			
KDM5B	KDM5B	ENSG00000117139	1	True	ARID/BRIGHT		
KDM5C	KDM5C	ENSG00000126012	1	True	ARID/BRIGHT		
KIAA1549	KIAA1549	ENSG00000122778	1	True	Unknown		
KIAA2018	USF3	ENSG00000176542	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP
KIN	KIN	ENSG00000151657	1	True	C2H2 ZF		
KLF1	KLF1	ENSG00000105610	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF10	KLF10	ENSG00000155090	2	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF11	KLF11	ENSG00000172059	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF12	KLF12	ENSG00000118922	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF13	KLF13	ENSG00000169926	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF14	KLF14	ENSG00000266265	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF15	KLF15	ENSG00000163884	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF16	KLF16	ENSG00000129911	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF17	KLF17	ENSG00000171872	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF2	KLF2	ENSG00000127528	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF3	KLF3	ENSG00000109787	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF4	KLF4	ENSG00000136826	2	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF5	KLF5	ENSG00000102554	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF6	KLF6	ENSG00000067082	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF7	KLF7	ENSG00000118263	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF8	KLF8	ENSG00000102349	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLF9	KLF9	ENSG00000119138	1	True	C2H2 ZF	C2H2 zinc finger factors	Three-zinc finger Kruppel-related
KLRG1	KLRG1	ENSG00000139187	1	False			
KMT2A	KMT2A	ENSG00000118058	1	True	CxxC; AT hook		
KMT2B	KMT2B	ENSG00000272333	2	True	CxxC; AT hook		
L3MBTL1	L3MBTL1	ENSG00000185513	2	True	C2H2 ZF		
L3MBTL3	L3MBTL3	ENSG00000198945	1	True	C2H2 ZF		
L3MBTL4	L3MBTL4	ENSG00000154655	1	True	C2H2 ZF		
LBX1	LBX1	ENSG00000138136	1	True	Homeodomain	Homeo domain factors	NK
LBX2	LBX2	ENSG00000179528	1	True	Homeodomain	Homeo domain factors	NK
LCOR	LCOR	ENSG00000196233	1	True	Pipsqueak		
LCORL	LCORL	ENSG00000178177	1	True	Pipsqueak		
LDB1	LDB1	ENSG00000198728	2	False			
LDB2	LDB2	ENSG00000169744	1	False			
LEF1	LEF1	ENSG00000138795	2	True	HMG/Sox	High-mobility group (HMG) domain factors	TCF-7-related factors
LEUTX	LEUTX	ENSG00000213921	1	True	Homeodomain	Homeo domain factors	Paired-related HD
LHX1	LHX1	ENSG00000273706	1	True	Homeodomain	Homeo domain factors	HD-LIM
LHX2	LHX2	ENSG00000106689	1	True	Homeodomain	Homeo domain factors	HD-LIM
LHX3	LHX3	ENSG00000107187	2	True	Homeodomain		
LHX4	LHX4	ENSG00000121454	1	True	Homeodomain		
LHX5	LHX5	ENSG00000089116	1	True	Homeodomain	Homeo domain factors	HD-LIM
LHX6	LHX6	ENSG00000106852	2	True	Homeodomain	Homeo domain factors	HD-LIM
LHX8	LHX8	ENSG00000162624	1	True	Homeodomain		
LHX9	LHX9	ENSG00000143355	1	True	Homeodomain	Homeo domain factors	HD-LIM
LIN28A	LIN28A	ENSG00000131914	1	True	CSD		
LIN28B	LIN28B	ENSG00000187772	1	True	CSD		
LIN54	LIN54	ENSG00000189308	2	True	TCR/CxC		
LIN9	LIN9	ENSG00000183814	1	False			
LITAF	LITAF	ENSG00000189067	1	False			
LMO1	LMO1	ENSG00000166407	2	False			
LMO3	LMO3	ENSG00000048540	2	False			
LMO4	LMO4	ENSG00000143013	1	True	Unknown		
LMX1A	LMX1A	ENSG00000162761	1	True	Homeodomain	Homeo domain factors	HD-LIM
LMX1B	LMX1B	ENSG00000136944	1	True	Homeodomain	Homeo domain factors	HD-LIM
LRPPRC	LRPPRC	ENSG00000138095	1	False			
LRRFIP1	LRRFIP1	ENSG00000124831	1	True	Unknown		
LTF	LTF	ENSG00000012223	1	True	Unknown		
LYL1	LYL1	ENSG00000104903	1	True	bHLH		
LZTR1	LZTR1	ENSG00000099949	1	True	Unknown		
LZTS1	LZTS1	ENSG00000061337	1	True	Unknown		
MAEL	MAEL	ENSG00000143194	1	True	HMG/Sox		
MAF	MAF	ENSG00000178573	1	True	bZIP	Basic leucine zipper factors (bZIP)	Maf-related
MAFA	MAFA	ENSG00000182759	1	True	bZIP	Basic leucine zipper factors (bZIP)	Maf-related
MAFB	MAFB	ENSG00000204103	1	True	bZIP		
MAFF	MAFF	ENSG00000185022	1	True	bZIP	Basic leucine zipper factors (bZIP)	Maf-related
MAFG	MAFG	ENSG00000197063	1	True	bZIP	Basic leucine zipper factors (bZIP)	Maf-related
MAFK	MAFK	ENSG00000198517	1	True	bZIP	Basic leucine zipper factors (bZIP)	Maf-related
MAP3K7	MAP3K7	ENSG00000135341	1	True	Unknown		
MAPK8IP1	MAPK8IP1	ENSG00000121653	2	False			
MARS	MARS1	ENSG00000166986	1	False			
MAX	MAX	ENSG00000125952	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP
MAZ	MAZ	ENSG00000103495	1	True	C2H2 ZF	C2H2 zinc finger factors	More than 3 adjacent zinc fingers
MBD1	MBD1	ENSG00000141644	1	True	MBD; CxxC ZF		
MBD2	MBD2	ENSG00000134046	1	True	MBD		
MBD3	MBD3	ENSG00000071655	1	True	MBD		
MBD4	MBD4	ENSG00000129071	1	True	MBD		
MBD6	MBD6	ENSG00000166987	1	True	MBD		
MBNL2	MBNL2	ENSG00000139793	1	True	CCCH ZF		
MBNL3	MBNL3	ENSG00000076770	1	True	CCCH ZF		
MECOM	MECOM	ENSG00000085276	1	True	C2H2 ZF		
MECP2	MECP2	ENSG00000169057	1	True	MBD; AT hook		
MED20	MED20	ENSG00000124641	1	False			
MED8	MED8	ENSG00000159479	1	False			
MEF2A	MEF2A	ENSG00000068305	1	True	MADS box	MADS box factors	Regulators of differentiation
MEF2B	MEF2B	ENSG00000213999	1	True	MADS box	MADS box factors	Regulators of differentiation
MEF2BNB-MEF2B	BORCS8-MEF2B	ENSG00000064489	1	True	MADS box		
MEF2C	MEF2C	ENSG00000081189	1	True	MADS box	MADS box factors	Regulators of differentiation
MEF2D	MEF2D	ENSG00000116604	1	True	MADS box	MADS box factors	Regulators of differentiation
MEIS1	MEIS1	ENSG00000143995	1	True	Homeodomain	Homeo domain factors	TALE-type homeo domain factors
MEIS2	MEIS2	ENSG00000134138	1	True	Homeodomain	Homeo domain factors	TALE-type homeo domain factors
MEIS3	MEIS3	ENSG00000105419	2	True	Homeodomain	Homeo domain factors	TALE-type homeo domain factors
MEOX1	MEOX1	ENSG00000005102	1	True	Homeodomain	Homeo domain factors	HOX
MEOX2	MEOX2	ENSG00000106511	1	True	Homeodomain	Homeo domain factors	HOX
MESP1	MESP1	ENSG00000166823	1	True	bHLH		
MESP2	MESP2	ENSG00000188095	1	True	bHLH		
MGA	MGA	ENSG00000174197	1	True	T-box	T-Box factors	TBX6-related factors
MIER1	MIER1	ENSG00000198160	2	True	Myb/SANT		
MIER2	MIER2	ENSG00000105556	1	True	Myb/SANT		
MIER3	MIER3	ENSG00000155545	1	True	Myb/SANT		
MIS18BP1	MIS18BP1	ENSG00000129534	1	True	Myb/SANT		
MITF	MITF	ENSG00000187098	2	True	bHLH	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP
MIXL1	MIXL1	ENSG00000185155	1	True	Homeodomain	Homeo domain factors	Paired-related HD factors
MKX	MKX	ENSG00000150051	2	True	Homeodomain	Homeo domain factors	TALE-type HD
MLLT1	MLLT1	ENSG00000130382	1	True	Unknown		
MLLT10	MLLT10	ENSG00000078403	1	True	Unknown		
MLLT3	MLLT3	ENSG00000171843	1	True	Unknown		
MLX	MLX	ENSG00000108788	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP
MLXIP	MLXIP	ENSG00000175727	1	True	bHLH		
MLXIPL	MLXIPL	ENSG00000009950	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP
MMP3	MMP3	ENSG00000149968	1	False			
MNAT1	MNAT1	ENSG00000020426	1	True	Unknown		
MNT	MNT	ENSG00000070444	1	True	bHLH	Basic helix-loop-helix factors (bHLH)	bHLH-ZIP
